country,happiness_score,gdp_per_capita,family,health,freedom,government_trust,generosity,dystopia_residual,continent
Denmark,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453,0.36171,2.73939,Europe
Switzerland,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,Europe
Iceland,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678,2.83137,Europe
Norway,7.497999999999997,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,Europe
Finland,7.4129999999999985,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,Europe
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,North America
Netherlands,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,Europe
New Zealand,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41904,0.4940100000000001,2.47553,Australia
Australia,7.313,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,Australia
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,Europe
Israel,7.267,1.33766,0.99537,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,Asia
Austria,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.2134800000000001,0.32865,2.69343,Europe
United States,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,North America
Costa Rica,7.0870000000000015,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.3516800000000004,South America
Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,Europe
Brazil,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,South America
Belgium,6.9289999999999985,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,Europe
Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,Europe
Luxembourg,6.871,1.69752,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,Europe
Mexico,6.778,1.1150799999999998,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,North America
Singapore,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46987,0.32706,1.99375,Asia
United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,Europe
Chile,6.705,1.2167,0.90587,0.8188300000000001,0.37789,0.11451,0.31595,2.95505,South America
Panama,6.7010000000000005,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,South America
Argentina,6.65,1.15137,1.0661200000000002,0.69711,0.42284,0.07296,0.10989000000000004,3.12985,South America
Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,Europe
United Arab Emirates,6.573,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2.21507,Asia
Uruguay,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394,0.18056,2.67139,South America
Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,Europe
Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15625999999999998,3.17471,South America
France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,Europe
Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,Asia
Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,Asia
Spain,6.3610000000000015,1.34253,1.12945,0.8789600000000001,0.37545,0.061370000000000015,0.17665,2.39663,Europe
Algeria,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,3.40904,Africa
Guatemala,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,3.19863,South America
Kuwait,6.239,1.61714,0.8775799999999999,0.63569,0.43166,0.23669,0.15965,2.28085,Asia
Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,Asia
Venezuela,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2.97468,South America
Slovakia,6.0779999999999985,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,Europe
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,South America
Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,Asia
Nicaragua,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46582,0.16292,0.29773,2.82428,South America
Uzbekistan,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,Asia
Italy,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918,Europe
Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,South America
Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,Asia
Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,Asia
Moldova,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25202,0.01903,0.19997,3.38007,Europe
Russia,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,Europe
South Korea,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824,2.35015,Asia
Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,Europe
Bolivia,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,2.91635,South America
Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,Europe
Belarus,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2.3858200000000003,Europe
Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,Europe
Peru,5.7429999999999986,0.99602,0.81255,0.6299399999999999,0.37502,0.05292,0.14527,2.73117,South America
Turkmenistan,5.658,1.08017,1.03817,0.4400600000000001,0.37408,0.28467,0.22567,2.21489,Asia
Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.052029999999999986,0.36951,2.20223,Africa
Libya,5.615,1.0668799999999998,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,Africa
Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,Europe
Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.052279999999999986,0.27906,2.04497,Asia
Paraguay,5.5379999999999985,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,South America
Romania,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2.45184,Europe
Estonia,5.517,1.27964,1.0516299999999998,0.68098,0.41511,0.18519,0.08423,1.81985,Europe
Jamaica,5.51,0.89333,0.96372,0.5946899999999999,0.43597,0.04294,0.22245,2.35682,South America
Croatia,5.488,1.18649,0.6080899999999999,0.70524,0.23907,0.04002,0.18434,2.52462,Europe
Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,Europe
Turkey,5.3889999999999985,1.1649200000000002,0.8771700000000001,0.64718,0.23889,0.12348,0.04707,2.29074,Asia
Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,Asia
Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,Asia
Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,Asia
Philippines,5.279,0.81217,0.87877,0.4703600000000001,0.5485399999999999,0.11757,0.21674,2.23484,Asia
China,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,Asia
Kyrgyzstan,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.04762,0.38432,2.28136,Asia
Serbia,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,Europe
Bosnia and Herzegovina,5.1629999999999985,0.93383,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2.48406,Europe
Montenegro,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2.25531,Europe
Dominican Republic,5.155,1.02787,0.99496,0.5766899999999999,0.52259,0.12372,0.21286,1.69626,South America
Morocco,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25646,0.08404,0.04053,2.94891,Africa
Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,Europe
Pakistan,5.1320000000000014,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,3.18286,Asia
Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.2369300000000001,2.0733900000000003,Asia
Portugal,5.122999999999998,1.27607,0.94367,0.7936300000000001,0.44727,0.01521,0.11691,1.53015,Europe
Vietnam,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,1.9418,Asia
Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,Africa
Greece,5.033,1.24886,0.75473,0.80029,0.058220000000000015,0.04127,0.0,2.12944,Europe
Tajikistan,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2.39106,Asia
Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539000000000003,1.53586,Asia
Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,Africa
Honduras,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2.29551,South America
Iran,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,Asia
Zambia,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,Africa
Nepal,4.793,0.4462600000000001,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2.32694,Asia
Palestinian Territories,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364,Asia
Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,Europe
Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,Asia
Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,Africa
Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,1.81657,Asia
Cameroon,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2.5198,Africa
Ethiopia,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2.65614,Africa
South Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,Africa
Sri Lanka,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,Asia
India,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,Asia
Myanmar,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,Asia
Egypt,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.96895,Africa
Armenia,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.97864,Asia
Kenya,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,Africa
Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,Europe
Ghana,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,Africa
Congo (Kinshasa),4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003,2.7492400000000004,Africa
Georgia,4.252,0.8379200000000001,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,Asia
Congo (Brazzaville),4.2360000000000015,0.7710899999999999,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,Africa
Senegal,4.2189999999999985,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103,1.97861,Africa
Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,Europe
Mauritania,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,0.22686,1.9263,Africa
Zimbabwe,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,2.4427,Africa
Malawi,4.1560000000000015,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,Africa
Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.4533200000000002,Africa
Mali,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,0.21064,2.11087,Africa
Haiti,4.0280000000000005,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,South America
Botswana,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,Africa
Ivory Coast,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,Africa
Cambodia,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339,1.3157299999999998,Asia
Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,Africa
Chad,3.763,0.42214,0.63178,0.03824,0.12807000000000002,0.04952,0.18667,2.3063700000000003,Africa
Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,Africa
Uganda,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,Africa
Yemen,3.724,0.57939,0.47493,0.31048000000000003,0.2287,0.058920000000000014,0.09821,1.97295,Asia
Madagascar,3.695,0.27954,0.46115,0.37109,0.13684000000000002,0.07506,0.2204,2.15075,Africa
Tanzania,3.666,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472,1.37769,Africa
Liberia,3.622,0.10706,0.50353,0.23165,0.25748000000000004,0.04852,0.24063,2.23284,Africa
Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,South America
Rwanda,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23552,0.96819,Africa
Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.06681000000000001,0.2018,2.10812,Africa
Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,Asia
Togo,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517,2.1354,Africa
Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.1040400000000004,Africa
